rowno,category,title,content,count,start,end
1,기타,윤석열 대통령 탄핵소추안 즉각 발의 요청에 관한 청원,"윤석열 탄핵 5가지 대표 사유입니다.  

1. 해병대 박정훈 수사단장에 대한 외압 행사: 군사법원법 위반
윤석열 정권은 7월 폭우 피해 실종자 구조 중 사망한 해병대 채수근 상병 사건을 수사하던 박정훈 수사단장에 외압을 행사했습니다. 또 박정훈 수사단장에게 항명죄를 뒤집어씌워 사건 수사를 가로막았습니다. 이는 군사법원법 위반으로 명백한 탄핵 사유입니다. 이것도 모자라 윤석열은 채해병 특검법에 거부권을 행사했습니다.

2. 명품 뇌물 수수, 주가조작, 서울-양평 고속도로 노선 조작 : 윤석열-김건희 일가의 부정비리, 국정농단
윤석열 정권은 취임하자마자 15년간 추진되어온 국책사업 서울-양평 고속도로 노선 변경을 시도하였습니다. 여기에 김건희의 명품 뇌물 수수 사건, 새로운 증거들이 드러나고 있는 주가조작사건 등 윤석열-김건희 일가의 부정비리 혐의는 끝이 없습니다. 그러나 김건희 특검법에 대해 윤석열은 거부권을 행사했습니다. 
   
3. 전쟁 위기 조장: 평화통일 의무 위반
윤석열 정권은 후보 시절부터 북한 선제타격을 주장하고 집권 이후 연일 대북 강경 발언, 무력시위, 한미-한미일 군사훈련을 집중적으로 벌여 한반도 전쟁 위기를 조장하고 있습니다. 최근에는 탈북자 단체들의 대북전단 살포를 비호하고 9.19남북군사합의서 파기, 대북확성기 방송 재개로 남북관계를 전쟁접경으로 몰아가고 있습니다. 대통령의 평화통일 의무를 규정한 헌법을 위반하는 윤석열 정권은 탄핵 대상입니다.

4. 일본 강제징용 친일 해법 강행: 대법원 판결 부정
윤석열 정권은 2018년 일제 강제동원 피해자 원고 승소를 판시한 한국 대법원 판결을 무시하고 제3자 변제 방안을 추진하였습니다. 일본의 강제동원 범죄에 면죄부를 주고 피해자의 권리 박탈하며 대법원 판결을 부정한 윤석열은 탄핵 대상입니다.

5. 후쿠시마 핵폐수 해양투기 방조: 국가와 국민의 생명 안전권 침해
윤석열 정권은 온 인류에 재앙을 일으키는 일본의 핵폐수 해양투기 범죄를 과학이라는 이름으로 옹호하고 국제법으로 보장된 인접국 권리를 포기하였습니다. 핵폐수의 위험성을 우려하고 경고하는 국민을 괴담 유포 세력, 반국가세력으로 몰아 공격했습니다. 심지어는 막대한 혈세를 낭비하며 핵폐수가 안전하다고 홍보까지 했습니다. 윤석열은 국민의 생명, 안전을 지켜야 할 대통령으로서 임무를 저버렸습니다.     

국민 안전, 국가 이익 수호라는 헌법정신을 부정하는 윤석열의 탄핵 사유는 차고 넘칩니다.
파국으로 치닫고 있는 대한민국을 바로 세우기 위해 우리 국민은 윤석열 정권 탄핵을 명령합니다. 국회는 민의를 받들어 즉각 윤석열 탄핵 소추안을 발의해야 합니다.",1434784,2024-06-20,2024-07-20
2,인권/성평등/노동,'평등에 관한 법률안' 반대에 관한 청원,"평등법안을 절대로 제정하지 말 것을 강력히 청원합니다. 청원의 이유는 다음과 같습니다. 

1. 평등법이 제정되면 동성애·성전환·제3의성 등에 대해 반대하는 의견을 제시하면 법적제재를 당하게 됩니다. 건전한 토론과 비판, 의견 교환을 금지함으로써 민주주의 사회가 유지될 수 없게 됩니다. 모든 영역에서의 차별이 금지되기 때문에 개인의 사생활과 종교의 설교를 포함하여 방송, 인터넷, SNS에서의 자유로운 의견 제시를 혐오와 차별이라는 명목으로 금지하고, 법적제재를 가함으로써 표현의 자유에 대한 심각한 억압이 일어나게 됩니다.

2. 스스로를 여성으로 인식하는 남성이 여자 화장실, 탈의실, 목욕탕 등 여성 전용 시설을 이용할 수 있도록 허용되기에 여성의 프라이버시권과 안전권이 침해됩니다. 이를 악용한 성범죄가 발생함에 따라 여성들이 피해를 당하게 됩니다. 

3. 자신을 여성으로 인식하는 남성이 여자 스포츠 경기에 출전하는 것이 허용됨으로써 경기 결과가 공정하지 못하게 되고, 여성 선수들이 역차별을 당하게 됩니다. 유도, 태권도, 복싱, 럭비, 격투기 등과 같이 상해 발생 가능성이 큰 종목에서는 여성 선수들이 부상을 당할 위험에 놓이게 됩니다.
 
4. 동성애·성전환의 보건적 유해성 및 윤리적 비판을 교육하는 것이 금지됩니다. 뿐만 아니라, 차별 해소를 위한 우대조치라는 명목으로 학교에서 동성애·성전환·제3의 성을 옹호, 조장하고 나아가 권장하는 교육을 실시하게 됩니다. 영국에서는 최근 10년간 성전환을 희망하는 아동과 청소년이 33배 이상 급증하였으며, 스웨덴에서는 2008~2018년까지 여자 청소년 중에서 성전환증으로 진단을 받은 비율이 1,500%가 증가하였습니다.  

5. 평등법이 제정되면 군대내 동성 성행위를 처벌하는 군형법 조항은 평등법에 반한다는 이유로 폐지될 가능성이 매우 큽니다. 또한, 성전환 수술 없이 성별을 변경할 수 있도록 관련 법과 제도가 변경될 것이고, 이는 병역 의무 기피를 위한 수단으로 악용될 수 있습니다. 

6. 스스로를 남성으로 인식하는 여성이 자궁을 유지한 채 남성으로 성전환을 한 후 인공수정으로 자녀를 출산할 경우, 법적 성별이 남성인 엄마가 출현하게 됩니다. 이들에 대한 차별을 없앤다는 명목으로 서구와 같이 학교에서 ‘아빠’, ‘엄마’ 용어의 사용이 금지되고, 대신에 ‘부모1’, ‘부모2’를 사용하라는 법과 제도가 만들어질 가능성이 매우 높습니다. 

7. 영국과 같이 동성커플에 입양 서비스를 제공하지 않는 입양기관은 모두 폐쇄될 것입니다. 또한, 게이 커플과 레즈비언 커플을 위해 대리모 출산이 허용되고, 정자 구매/기증을 통한 인공수정 출산이 합법화됩니다. 

8. 차별금지사유에 ‘가족형태’가 포함되어 있기 때문에 동성혼, 근친혼과 기타 잡혼이 합법화될 가능성이 매우 큽니다. 평등법이나 차별금지법을 제정한 이후 동성혼이 합법화되는 수순을 거친 외국의 사례가 많습니다. 

9. 성당, 사찰, 교회 등 종교단체가 동성애자나 성전환자를 직원, 교역자, 사역자로 채용하지 않으면 차별금지법 위반에 따른 무거운 법적 제재를 당하게 됩니다. 또한, 종교지도자를 양성하는 학교가 동성애자와 성전환자, 제3의 성 주장자의 입학을 허용하지 않으면 차별금지법 위반의 법적 책임을 지게 됩니다. 

<관련 동영상 링크>
https://www.youtube.com/watch?v=lAPQEtZsZ7w 

https://www.youtube.com/watch?v=PKJuT10ny0s ",100000,2021-06-18,2021-06-22
3,교육, 학급당 학생 수 20명 상한을 위한 초ㆍ중등교육법 개정에 관한 청원,"코로나 19 상황으로 학생들의 부분 등교가 길어지고 있으며 원격수업 장기화로 인해 교육 격차가 심해지고 있습니다. 친구들을 제대로 만나지 못하는 학생들의 고립과 외로움 등 정서상의 문제가 대두되고 있고 인터넷•스마트폰 중독, 부실한 식사, 활동 부족으로 인한 건강상의 문제도 심각합니다.

서울. 경기 지역 과학고등학교의 학급당 학생 수는 평균 15명으로 코로나 상황에서도 전면 등교를 시행했습니다. 이러한 학교 뿐 아니라 모든 학교에서 학급당 학생 수를 줄여 안전한 교육 환경을 조성하고 모든 학생들에게 평등한 학습권을 보장해야 합니다. 교육부는 9월 전면 등교를 예고하고 있으나 현 상태로는 학생들의 안전이 보장되지 않습니다. 코로나와 같은 감염병 위기 상황에서도 매일 안전하게 등교하기 위해서는 거리두기의 최소 요건으로 학급당 학생 수가 20명 이하가 되어야 합니다.

학급당 학생 수 감축은 질 높은 교육을 위한 가장 기본적인 조건입니다. 한 교실의 학생 수가 줄어들면 다양한 수업 방식을 도입할 수 있고 개인별, 맞춤형 교육이 가능해집니다. 경제 규모로는 세계 10위인 우리나라의 학급당 학생 수는 OECD 평균보다 훨씬 많습니다. 학령인구 감소를 근거로 학급을 줄이고 교원 수를 감축할 것이 아니라, 학급당 학생 수를 20명 이하로 줄여 교육의 질을 높이고 교육의 공공성을 제고하는 기회로 삼기를 바랍니다. 

과밀학급을 해소하고 교육이 가능한 학교를 만들기 위해 법률로 학급당 학생 수 상한을 정해야 합니다. 이에 초·중등교육법을 개정하여 초•중등학교의 학급당 학생 수를 20명 이하로 제한할 것을 청원합니다.",100000,2021-06-01,2021-06-22
4,보건의료,간호사 1인당 담당 환자 수 축소에 관한 청원,"간호인력부족 문제의 근본적인 원인은 간호사 1인당 환자수에 대해 법적 제한이 없고 그 모든 부담이 간호사 개인에게 오기 때문입니다. 간호사들은 일찍 나와 일하고, 늦게까지 남아 일하면서 정신없이 바쁘게 뛰어다니지만 충분히 환자를 간호하지 못했다는 죄책감에 시달리며 일해야합니다. 결국 그러다 사직을 선택하게 됩니다.

이러한 상황은 환자의 생명과 직결된다는 점에서도 문제가 있습니다. 2019년 전 세계 30개국에서 동시에 진행된 ‘간호가 환자 결과에 미치는 영향에 대한 연구결과’가 발표되었습니다. 미국 캘리포니아, 플로리다 등 491개 병원에 입원한 환자를 대상으로 조사한 결과, 담당 환자가 1명이 증가할 때 간호사 업무가 가중되고 재입원률이 상승한다는 연구결과가 있습니다. 
간호사의 비율을 늘릴수록 환자의 생명을 지킬 수 있습니다. 2014년 벨기에, 잉글랜드, 핀란드 등 유럽 9개국 300개 병원에서 수술을 받은 환자 42만여명을 대상으로 진행한 연구에 따르면 간호사의 비율을 10% 높이면 환자 사망률이 7% 감소되었습니다.

그렇기 때문에 간호사 1인당 환자수를 줄이고 법적으로 제한할 수 있어야 합니다. 이미 다른 나라에서는 환자 대 간호사 비율을 법으로 정하고 있습니다. 미국 캘리포니아주는 간호사 한명이 1~5명의 환자만 돌보도록 간호사 최소 배치기준을 정하는 법을 1999년에 만들었습니다. 호주 빅토리아주에서도 2000년에 환자 대 간호사 비율을 법제화했고, 호주 퀸즈랜드 주의 경우 간호사 인력배치 수준을 확대한 이후 환자 사망률을 12% 낮추고, 12%의 감염을 혜방하는 효과를 보았다고 밝혀져있습니다.  

우리나라도 손 놓고 있을 수만은 없습니다. 지금 바로 환자 대 간호사 비율을 법제화하고 이를 지키지 않는 의료기관에 대해서는 처벌해야합니다. 

또한 이와 더불어 지역 간호사들의 저임금 문제를 해결하기 위해 지역별, 종별 간호인력의 임금현황을 정기적으로 조사하고 임금기준안을 제시할 것, 폭언·폭행·성희롱 등을 간호활동 침해행위로 규정하고 피해를 입은 간호 인력의 치유와 권리 회복에 필요한 조치를 취할 것, 신규간호사들의 수련환경 개선을 위한 제도적 장치를 마련할 것 등을 제안합니다.

위와 같은 내용을 담은 ‘간호인력 인권 향상을 위한 법률’ 제정을 제안합니다. 구체적인 법률안은 첨부파일로 첨부합니다.",100000,2021-09-27,2021-10-25
5,수사/법무/사법제도,故손○○군 사건 CCTV공개와 함께 과학적인 재수사 엄중촉구에 관한 청원,"한강1호 사건번호
서울중앙지검 2021형제 ○○○○○호

故손○○군 사망사건은 국민청원자만 52만명이상 되었으나 청와대의 답변은 부실 의혹수사 가득한 경찰입장 재확인에 불과했습니다.

국회의원이란 무엇입니까! 국민을 대표하라고 뽑힌 직분이지요. 그런데 이 의혹 가득한 사망사건에 어찌하여국민을 대변해주는 국회의원 소리가 들리지 않습니까!

정민군은 동석자가 불러내어 같이 있다가 폭행등 참변당하고 주검이 되었습니다. 천진난만하게 선한 마음으로 친구라고 믿고 나갔다가 밤사이 참변을 당했고, 유가족은 계속 고통을 당하고 있습니다! 유가족과 함께 공분하는 국민들은 결코 이 사건을 그냥 지나치지 않을 것입니다! 왜냐하면 이 사건을 덮는 행태에 지금 대한민국의 온갖 부정부패가 여실히 드러나고 있으니까요!

무엇이 두려워서 조용히들 계시는지요? 무서운 것은 권력이 아니라 국민임을 상기해야 될 것입니다!

그리고 경찰은 CCTV를 유가족에게도 제대로 공개하지 않고 서둘러 종결시켰습니다. 그런 경찰도 함께 조사가 반드시 필요하고, 마치 지시를 받은양 일사불란하게 왜곡 편파보도하는 언론들도 다 수사 대상입니다만!

일단 기본수사부터 제대로 재수사하게 목소리 내주십시요! 국민의 억울한 죽음을 공공연히 외면하는 정치인들은 그 누구도 지도자가 될 자격 없습니다!

누가봐도 부실수사 의혹 가득한 수사, 역사에 기록되고 있습니다! 역사에 오명을 남기는 자가 되지 마시고 국민의 기본 권리를 되찾아 주십시요!

국민이 있어야 국회의원도 존재한다는 것을 명심하십시요! 어떠한 부정부패도 국민의 알권리는 막을 수 없습니다!

지금이라도 엄중하게 공개 재수사 촉구해주시기 바랍니다!",100000,2021-08-19,2021-09-12
6,인권/성평등/노동,평등에 관한 법률안 반대에 관한 청원,"박주민의원이 대표 발의한, 평등에 관한 법률안(이하 평등법안)은 21개의 차별 사유를 정해 사기업, 사인의 자유를 심각히 제약하고, 반대 표현을 괴롭힘에 해당하는 차별로 보는 이상민의원이 대표 발의한 평등법안과 유사하면서도 더욱 강화된 법적 제재를 두고 있습니다.

평등법안의 21개 차별 사유에는 논쟁거리인 사상·정치적 신념 외에도 남녀 양성 중심의 헌법, 법률체계와 대법원 판례에 반하며 대한민국 사회 문화에 정면으로 반하는 ‘그 밖의 알 수 없는 성’을 도입하며, 성적지향, 성별정체성을 차별금지 사유로 도입합니다.

제3의 성별과 성별정체성 차별금지는 전 세계 10% 미만 국가에서만 인정되고 많은 부작용을 낳는 너무 성급한 입법입니다. 또한, 법 적용 대상으로 재화, 서비스 공급, 법령, 정책 적용의 사실상 모든 공사 영역으로 하며, 결과적 불평등을 간접차별로 규정한 점도 우리나라를 갈등 사회로 변화시킬 수 있습니다.

한편, 멸시, 모욕 또는 두려움을 야기하는 부정적 언급의 표시를 정신적 고통 야기로 괴롭힘으로 보아 인권위원회의 차별 시정 대상으로 놓고, 징벌적 손해배상 소송을 국가가 세금으로 지원토록 한 점 등은 이상민의원의 평등법안과 유사 또는 동일합니다. 급진적 젠더 이데올로기에 대한 반대 표시를 부정적 언급의 표시, 정신적 고통의 야기로 보아 표현의 자유를 현저히 억압할 수 있는 신전체주의적 시도입니다.

편향적 인권관으로 젠더정치적 기구로 전락한 인권위의 권고가 사회적 갈등을 야기하고 표현의 자유, 종립학교 교육의 자유, 대학 자율성을 억압하면서 동성애, 성별 변경, 제3의 성을 정당화 옹호하였음을 우리는 목도해 왔습니다. 평등법안은 이러한 인권위에 시정명령 불이행시 최대 3천만원의 이행강제금을 이행할 때까지 중복 부과할 권한을 주며, 국고로 소송을 지원하여 손해액의 3~5배의 배상(최저액 5백만원, 최고액 무제한)을 명하는 징벌적 손해배상을 도입합니다.

심지어, 인권위 진정과 관련한 불이익 처우를 하는 개인, 법인, 사업주를 최대 3년 이하의 징역의 형벌에 직면하도록 합니다. 이 평등법안에 따르도록 기존 법령과 정책을 수정, 개선하도록 하며 인권위 의견을 듣도록 규정(제9조)한 점은, 전술한 법적 제재와 함께, 조화가 아닌 억압, 즉 전체주의적 반대 탄압을 획책하고 있다는 의심을 지울 수 없게 합니다.
 
차별금지법이 시행된 미국의 주에서는 성전환에 대한 상담 치료를 금지하는 입법이 이루어지고 있습니다. 또한, 여학생이 원하면 남성(he)으로, 남학생은 원하면 여성(she)로 칭하라는 교육정책에 반대의견을 낸 교사가 강제로 휴직되었다가, 법적투쟁 끝에 연방항소법원에 의해 복직되었습니다.

스코틀랜드 학교에서 성별은 남녀 뿐이라고 주장하던 학생이 무기한 정학을 받았습니다. 또한, 성전환에 동의했던 10대 초반 소녀가(현재 23세 여성) 성전환의 위험성을 얘기하지 않았던 영국보험공단을 상대로 소송을 제기해서, 법원은 ‘10대는 성전환의 결과를 이해하고 동의할 수 없다’며 사춘기 억제 성전환 치료의 위법성을 인정하는 판결을 내렸습니다.
<Alison Holt, BBC News, NHS gender clinic 'should have challenged me more' over transition, 1 March, 2020.>

미국과 영국은 급진적 젠더 교육과 이로 인한 의료 문제로 어려움을 겪고 있습니다. 이러한 평등법안의 문제점을 보는 대한민국은 절대로 이 법안을 제정해서는 안 될 것입니다.",100000,2021-08-26,2021-09-23
7,정치/선거/국회운영,22년 3월 대선에서 수개표 시행을 위한 공직선거법 개정에 관한 청원,"1. ‘당일 투표’만 시행한다는 내용을 개정법안에 명시해 주십시오.

부정선거의 가능성이 높은 사전투표와 우편투표를 금하고, 선거 당일에 투표합니다. 현행법상 사전투표 종료 후 투표함의 관리가 올바른지 확인할 법적 근거가 없습니다. 사전투표와 우편투표함 이동 등 관리의 안전성과 신뢰성이 부족하고 계속적인 부정 선거 논란이 생기기 때문에 ‘당일 투표’를 기본 원칙으로 합니다. 

투표 참여율보다 중요한 것이 부정선거를 막는 것입니다. 국민들에게 투표할 시간을 주기 위해서 선거일을 법정 공휴일로 정한 것입니다. 선거 당일날 이른 새벽부터 투표소를 여는 등의 방법으로 보완하면 될 것입니다.      

2. 개표할 때 ‘수개표’만 시행한다는 내용을 개정법안에 명시해 주십시오.
 
개표는 전자기기 사용을 금지하고, 투표지를 수작업으로 세는 법안을 만들어 주십시오. 투표함을 이동하지 말고, 투표소에서 ‘현장 개표’가 실시되어야 투표함 바꿔치기나 표 도둑이 생기지 않습니다. 수개표로 바꾼 나라에서 최종 합산 과정에서 전산 부정이 일어난 경우도 있습니다. 그런 만큼 모든 표를 꼼꼼하게 수작업으로 점검해야 할 것입니다. 개표 봉사자를 많이 뽑으면 되고, 우리나라는 인구가 많지 않기 때문에 수개표만 하더라도 하루가 채 걸리지 않을 것입니다. 부정선거를 철저히 막고 정직한 결과를 얻는 것이 가장 중요하기 때문에 선거결과가 늦게 나오는 것은 전혀 문제가 되지 않습니다.  

3. 참관인과 투표, 개표의 모든 과정을 영상으로 실시간으로 방영하고, 참관인은 촬영을 한다는 내용을 개정법안에 명시해 주십시오. 

선거 참관인의 수를 늘리고, 투개표소 등 선거와 관련된 장소에는 여러 대의 카메라를 두고 투표와 개표 상황을 실시간으로 방송하여 현장 상황을 볼 수 있게 합니다. 참관인은 자유롭게 촬영하도록 합니다.  

4. 투개표 참관을 방해하는 등 정직한 선거를 방해하는 사람은 20년 이상 중형에 처한다는 내용을 개정법안에 명시해 주십시오.

5. 모든 투개표 행정과 봉사에는 대한민국 국적을 가진 사람만 참여한다는 내용을 개정법안에 명시해 주십시오.
대한민국 국적을 가진 사람만 투개표에 참여하고, 이를 어길 시 처벌한다는 내용을 개정법안에 명시해 주십시오.

6. 투표함은 표가 보이게 투명으로 제작하여 영구히 투명 투표함을 사용한다는 내용을 개정법안에 명시해 주십시오.

7. 투표 용지는 ""형상기억 투표용지"" 등 특수한 종이를 사용하지 않고, 접은 자국이 정확히 남는 종이 재질을 사용하고 모든 투표인이 종이를 두 번 이상 접도록 현장에서 지도한다는 내용을 개정법안에 명시해 주십시오.

8. 투표지에 바코드와 QR코드를 사용하지 않고 일련번호만 사용한다는 내용을 개정법안에 명시해 주십시오.  

9. 투표일에 (알바 포함) 투표 못하게 출근을 시키거나 투표하러 못가게 하는 고용주에게는 10억 벌금을 부과하고 신고하는 자에게는 포상금 지급한다는 내용을 개정법안에 명시해 주십시오.

이상 언급한 아홉 가지의 내용이 모두 명시된 개정법안을 22년 3월 대선 전까지 발의, 통과시키셔서 22년 3월 대선이 수개표로 시행되게 해 달라는 것이 이 청원의 내용이며 국민의 뜻입니다. 

이 청원에도 선거법을 수개표 공직선거법을 22년 3월까지 개정하여 통과시키시지 않으신다면 지난 4월 15일 부정선거를 인정하시는 것으로 국민들은 알 것입니다. ",100000,2021-12-07,2022-01-06
8,수사/법무/사법제도,텔레그램에서 발생하는 디지털성범죄 해결에 관한 청원,"지난해 11월, ‘n번방 사건’으로 불리는 텔레그램 성착취 사건이 언론을 통해 보도되었습니다. 그러나 언론에서 사건을 조명하고 유포자 일부가 검거되었음에도 여전히 유사한 성격의 채널들이 버젓이 운영되고 있습니다.

더 심각한 것은, 이러한 디지털성범죄의 표적이 매우 광범위하다는 점입니다. 실제로 여자 연예인, BJ, 지인 얼굴을 합성하는 딥페이크 포르노, 생활공간을 불법촬영한 사진 및 영상 또한 텔레그램을 통해 유포/매매되고 있으며 유포자, 소비자들은 피해자들을 향해 성희롱과 2차가해 발언을 합니다. 이러한 텔레그램 채널은 딥페이크 포르노 제작/판매방, 불법촬영물방 등으로 나뉘어져 있습니다. 이는 텔레그램을 통한 여성착취가 단순히 ‘n번방’에 국한되지 않으며, 피해자가 결코 소수가 아님을 시사합니다. 

위 설명에 등장하는 각각의 채널 구독자수는 기본 수천 명에 이릅니다. 이렇듯 사태는 심각한 상황이며, 이 사건을 근본적으로 해결하기 위해 다음과 같은 사항을 요구합니다. 

첫째, 경찰의 국제공조수사
가해자들은 대피소 방을 만들어 성착취 영상 유포 채널 유실에 대비하고 있으며, 끊임없이 영상을 재유포/판매하고 있습니다. 또한 텔레그램이 해외 서버라는 점을 이용해 이들은 경찰신고에 걸리지 않기 위한 우회방법을 공유하고 있습니다. 게다가 텔레그램 채널과 영상 유포자를 신고해도, 텔레그램 측에 접수되었다는 점만 알 뿐 즉각적으로 유포계정/채널이 정지되지 않아 단순 모니터링과 신고에는 한계가 있습니다. 따라서 모방범을 방지하고 본질적으로 성착취 영상 유포를 차단하기 위해서 국제공조수사는 선택이 아니라 필수입니다. 이미 네덜란드와의 국제공조수사를 통해 소라넷 폐쇄를 이뤄낸 선례가 있습니다. 텔레그램의 경우에도 독일과의 국제공조수사를 한다면 해외 서버라는 한계를 넘어 가시적인 성과를 거둘 수 있으리라 기대합니다.

둘째, 수사기관의 디지털성범죄 전담부서 신설, 2차가해 방지를 포함한 대응매뉴얼을 만들 것
서울시와 서울시여성가족재단의 조사에 따르면 디지털성범죄를 경험했을 때 실제로 대처하는 비율은 고작 7%이며, 그 중 경찰신고는 13.9%에 그쳤습니다. 피해자들은 그 이유로 처벌의 불확실성과 처리결과통지 미흡을 꼽았습니다. 수사기관의 2차가해 또한 피해신고를 꺼리게 만드는 원인입니다. 따라서 수사기관은 적극적인 문제 해결을 위해 디지털성범죄 전담부서를 신설하여야 하며, 신고 접수 시 처리과정을 명확히 고지하고 2차 가해를 방지하는 등, 체계적 디지털 성범죄 대응 매뉴얼을 갖출 필요가 있습니다.

셋째, 범죄 예방을 위해 디지털 성범죄에 대해 엄격한 양형기준을 설정할 것
올해 1.6일에 디지털 성범죄 양형기준을 심의하였으며, 올해 4월 전까지 양형기준 심의를 끝내는 것으로 알고 있습니다. 부디 재범이 발생하지 않도록 불법촬영, 딥페이크 포르노, 이번 n번방 성착취 사건 등 디지털 성범죄에 대해 엄격한 처벌을 할 수 있도록 양형기준 재조정을 요구합니다.

텔레그램 성착취는 여성을 대상으로 한 폭력이며 심각한 인권 유린으로 반드시 근절되어야 합니다. 더 이상 피해자들이 고통받지 않도록, 그리고 이런 디지털성범죄가 재발하지 않도록 국회 차원의 대응을 촉구합니다.

관련 기사
https://bit.ly/2TqwdDQ
https://bit.ly/2RdKlxF
https://bit.ly/30mOhjR
https://bit.ly/2FLW7Kq
https://bit.ly/39ZWDm1",100000,2020-01-15,2020-02-10
9,수사/법무/사법제도,문재인 대통령 탄핵에 관한 청원,"국민의 한 사람으로서 문재인 대통령의 탄핵을 촉구합니다. 

이번 우한 폐렴(코로나19)사태에 있어 문재인 대통령의 대처를 보면 볼 수록, 대한민국의 대통령이 아닌 중국의 대통령을 보는 듯 합니다. 국내에서는 마스크가 가격이 10배 이상 폭등하고 품절상태가 지속되어 마스크 품귀현상으로 국민들이 마스크를 구입하기도 어려운 데 대통령은 300만개의 마스크를 중국에 지원하였으며 마스크 가격 폭등에 대한 어떠한 조치도 내어놓고 있지 않습니다. 

또한 전세계적으로 총 62개국이 중국인 입국금지, 중국 경유한 외국인에 대한 입국 금지 등 강력한 제재조치를 행했음에도 정부는 국제법을 운운하다가 전세계 수많은 나라들이 입국금지 조치를 내어놓자 눈치게임하듯 이제서야 눈치보며 내놓은 대책이라는 것이 '후베이성을 2주내 방문한 외국인 4일부터 입국 전면 금지'라는 대책이라니!
도대체 말이 되지 않습니다. 중국 전역이 아니요 이미 봉쇄, 폐쇄중인 후베이성을 방문한 외국인 입국금지라니, 중국 전역에서 환자가 나오고 있는 이 시점에 도저히 받아 들일 수 없습니다.

이미 우한지역 봉쇄 직전 빠져나간 중국인이 500만명이 넘는데, 이미 봉쇄한 후베이성을 방문한 외국인에 대한 제한만 둔다면, 그 외의 지역에 있는 모든 중국인들에게는 계속 한국을 드나들 수 있도록 허락하고 자유로이 개방한 것과 마찬가지입니다.

현재 국내 확진자가 늘어가고, 확진자가 하나도 없는 뉴질랜드에서조차 강력한 입국금지 조치를 취하고 있음에도 우리나라는 허울뿐인 입국금지 대책만 내어놓고 실질적인 대책을 전혀 내어놓지 않고 있습니다.
현재도 하루에 약 2만명의 중국인들이 계속해서 대한민국으로 입국하고 있습니다. 그리고 2만명씩 들어오니 중국인의 고통을 나누자는게 나라의 대통령이 할 말입니까? 남의 나라의 고통을 왜 우리 나라가 같이 나눠야합니까?

대한민국 대통령으로서 무엇보다 중요하게 생각해야 하는 것은 '자국민 보호' 가 아닐까요?
정말 자국민을 생각했다면 중국 모든 지역을 대상으로 입국금지 했어야 합니다.

이제는 중국마저 우리에게 입국제한을 하고있습니다. 우리는 이제 코로나 확진자 2등 국가 되고 국가의 이미지마저 엄청나게 떨어지고 있습니다. 곧 종식된다는 거짓말과 마스크를 우체국등을 통해 2월 27일배부한다면서 우체국과의 협의도 안한 정부를 믿을수가없습니다. 

게다가 중국인 에게는 마스크와 손소독제 도시락마저 좋은것을 퍼주면서 우리 나라 의료진에게는 부실한 식사를 대접하고 대구쪽에 의사를 파견하고 숙소는 알아서 하라는게 이것이 나라의 대통령입니까? 코로나는 곧 종식되고 경제활동을 다시하고 대규모행사도 진행해도 된다 했습니다. 그래서 그 결과가 뭡니까?

더이상은 지켜만 볼 수 없습니다.
문재인 대통령을 우리나라 대통령이라고 생각하기 어렵습니다. 탄핵을 촉구합니다.",100000,2020-02-28,2020-03-02
10,수사/법무/사법제도,문재인 대통령 탄핵 청원 반대에 관한 청원,"지금은 전 세계가 코로나19바이러스로 인한 재난 상황입니다.
문대통령과 질병관리본부, 의료진들은 사활을 걸고 확진자 검사와 방역에 최선을 다하고 있습니다.
3월 1일 현재 질병관리본부 통계에 의하면 검사인원 총 98,921명입니다.
세계에서 가장 많이 검사하고 가장 빠르게 격리시키며 지역사회로의 전염을 차단하고 있습니다.
세계에서 가장 투명하게 진단하고 방역한다는 사실은 외신에서도 보도하고 있습니다.
뉴시스1 ""급이 다르다"" 韓 코로나19 대처방식 외신 칭찬 일색"" 
연합뉴스 ""외국 전문가들, 한국 코로나19 검사속도에 탄복..미국은 못해"" 등 여러 뉴스와 기사들로 확인 가능합니다.
지금 우리나라 코로나19바이러스는 신천지라는 종교 집단과 관련된 확진자가 대부분입니다. 
해당 내용은 기사와 통계가 너무 많기에 따로 적지 않겠습니다.
이 사실은 신천지라는 종교의 특성(밀폐성, 집단성,불투명성) 때문이지 정부가 대응에 손을 놓거나 무대응이 아닙니다.
세계 어느나라보다 빠르게 찾고 방역하고 치료하고 있습니다.
정부의 대응의 문제라고 국가의 수장을 탄핵해야되는 이유가 전혀 없다는 말입니다.
특히! 지금 같은 1분 1초가 극박한 상황에 대통령을 탄핵하려는 청원은 나라를 더욱 위기에 빠트리고 국가분열을 조장할 수도 있습니다.
저는 오히려 문재인 대통령과 질병관리본부, 의료진에게 힘내시라고 응원을 드립니다.",100000,2020-03-04,2020-03-10
